x-axis,1,2,3
second,Volt,Volt,Volt
+63.88000E-03,+756.25002E-03,+531.25000E-03,+505.74994E-03
+63.90000E-03,+881.25002E-03,+531.25000E-03,+599.49994E-03
+63.92000E-03,+1.22500002E+00,+718.75000E-03,+880.74994E-03
+63.94000E-03,+1.63125002E+00,+1.03125000E+00,+1.28699994E+00
+63.96000E-03,+1.97500002E+00,+1.43750000E+00,+1.75574994E+00
+63.98000E-03,+2.25625002E+00,+1.87500000E+00,+2.22449994E+00
+64.00000E-03,+2.50625002E+00,+2.31250000E+00,+2.56824994E+00
+64.02000E-03,+2.53750002E+00,+2.65625000E+00,+2.75574994E+00
+64.04000E-03,+2.44375002E+00,+2.78125000E+00,+2.78699994E+00
+64.06000E-03,+2.16250002E+00,+2.71875000E+00,+2.63074994E+00
+64.08000E-03,+1.81875002E+00,+2.46875000E+00,+2.19324994E+00
+64.10000E-03,+1.41250002E+00,+2.06250000E+00,+1.78699994E+00
+64.12000E-03,+1.10000002E+00,+1.62500000E+00,+1.28699994E+00
+64.14000E-03,+787.50002E-03,+1.09375000E+00,+849.49994E-03
+64.16000E-03,+725.00002E-03,+750.00000E-03,+536.99994E-03
+64.18000E-03,+756.25002E-03,+531.25000E-03,+443.24994E-03
+64.20000E-03,+1.00625002E+00,+531.25000E-03,+568.24994E-03
+64.22000E-03,+1.35000002E+00,+718.75000E-03,+911.99994E-03
+64.24000E-03,+1.72500002E+00,+1.06250000E+00,+1.34949994E+00
+64.26000E-03,+2.13125002E+00,+1.56250000E+00,+1.94324994E+00
+64.28000E-03,+2.41250002E+00,+2.12500000E+00,+2.41199994E+00
+64.30000E-03,+2.53750002E+00,+2.50000000E+00,+2.75574994E+00
+64.32000E-03,+2.44375002E+00,+2.75000000E+00,+2.84949994E+00
+64.34000E-03,+2.16250002E+00,+2.78125000E+00,+2.75574994E+00
+64.36000E-03,+1.78750002E+00,+2.53125000E+00,+2.38074994E+00
+64.38000E-03,+1.41250002E+00,+2.15625000E+00,+1.84949994E+00
+64.40000E-03,+1.00625002E+00,+1.65625000E+00,+1.28699994E+00
+64.42000E-03,+756.25002E-03,+1.12500000E+00,+786.99994E-03
+64.44000E-03,+693.75002E-03,+718.75000E-03,+474.49994E-03
+64.46000E-03,+818.75002E-03,+468.75000E-03,+411.99994E-03
+64.48000E-03,+1.13125002E+00,+500.00000E-03,+599.49994E-03
+64.50000E-03,+1.50625002E+00,+781.25000E-03,+1.03699994E+00
+64.52000E-03,+1.97500002E+00,+1.21875000E+00,+1.63074994E+00
+64.54000E-03,+2.31875002E+00,+1.84375000E+00,+2.22449994E+00
+64.56000E-03,+2.47500002E+00,+2.34375000E+00,+2.66199994E+00
+64.58000E-03,+2.50625002E+00,+2.71875000E+00,+2.88074994E+00
+64.60000E-03,+2.25625002E+00,+2.84375000E+00,+2.84949994E+00
+64.62000E-03,+1.88125002E+00,+2.65625000E+00,+2.50574994E+00
+64.64000E-03,+1.38125002E+00,+2.25000000E+00,+1.94324994E+00
+64.66000E-03,+975.00002E-03,+1.65625000E+00,+1.34949994E+00
+64.68000E-03,+756.25002E-03,+1.12500000E+00,+786.99994E-03
+64.70000E-03,+725.00002E-03,+687.50000E-03,+443.24994E-03
+64.72000E-03,+850.00002E-03,+406.25000E-03,+411.99994E-03
+64.74000E-03,+1.25625002E+00,+468.75000E-03,+630.74994E-03
+64.76000E-03,+1.66250002E+00,+843.75000E-03,+1.16199994E+00
+64.78000E-03,+2.13125002E+00,+1.37500000E+00,+1.75574994E+00
+64.80000E-03,+2.41250002E+00,+2.03125000E+00,+2.41199994E+00
+64.82000E-03,+2.50625002E+00,+2.50000000E+00,+2.81824994E+00
+64.84000E-03,+2.35000002E+00,+2.84375000E+00,+2.94324994E+00
+64.86000E-03,+2.00625002E+00,+2.84375000E+00,+2.72449994E+00
+64.88000E-03,+1.60000002E+00,+2.46875000E+00,+2.19324994E+00
+64.90000E-03,+1.10000002E+00,+1.93750000E+00,+1.59949994E+00
+64.92000E-03,+787.50002E-03,+1.34375000E+00,+943.24994E-03
+64.94000E-03,+693.75002E-03,+781.25000E-03,+474.49994E-03
+64.96000E-03,+850.00002E-03,+468.75000E-03,+318.24994E-03
+64.98000E-03,+1.22500002E+00,+437.50000E-03,+568.24994E-03
+65.00000E-03,+1.66250002E+00,+750.00000E-03,+1.06824994E+00
+65.02000E-03,+2.13125002E+00,+1.31250000E+00,+1.75574994E+00
+65.04000E-03,+2.44375002E+00,+1.96875000E+00,+2.41199994E+00
+65.06000E-03,+2.50625002E+00,+2.56250000E+00,+2.88074994E+00
+65.08000E-03,+2.31875002E+00,+2.84375000E+00,+2.97449994E+00
+65.10000E-03,+1.91250002E+00,+2.78125000E+00,+2.69324994E+00
+65.12000E-03,+1.38125002E+00,+2.40625000E+00,+2.09949994E+00
+65.14000E-03,+975.00002E-03,+1.84375000E+00,+1.41199994E+00
+65.16000E-03,+693.75002E-03,+1.15625000E+00,+755.74994E-03
+65.18000E-03,+756.25002E-03,+625.00000E-03,+349.49994E-03
+65.20000E-03,+1.00625002E+00,+375.00000E-03,+380.74994E-03
+65.22000E-03,+1.47500002E+00,+500.00000E-03,+693.24994E-03
+65.24000E-03,+1.97500002E+00,+1.00000000E+00,+1.41199994E+00
+65.26000E-03,+2.41250002E+00,+1.65625000E+00,+2.09949994E+00
+65.28000E-03,+2.56875002E+00,+2.31250000E+00,+2.75574994E+00
+65.30000E-03,+2.38125002E+00,+2.75000000E+00,+2.97449994E+00
+65.32000E-03,+2.00625002E+00,+2.90625000E+00,+2.81824994E+00
+65.34000E-03,+1.50625002E+00,+2.59375000E+00,+2.31824994E+00
+65.36000E-03,+1.03750002E+00,+2.03125000E+00,+1.56824994E+00
+65.38000E-03,+693.75002E-03,+1.28125000E+00,+849.49994E-03
+65.40000E-03,+756.25002E-03,+687.50000E-03,+443.24994E-03
+65.42000E-03,+1.00625002E+00,+375.00000E-03,+318.24994E-03
+65.44000E-03,+1.47500002E+00,+437.50000E-03,+661.99994E-03
+65.46000E-03,+2.00625002E+00,+906.25000E-03,+1.34949994E+00
+65.48000E-03,+2.41250002E+00,+1.62500000E+00,+2.09949994E+00
+65.50000E-03,+2.50625002E+00,+2.34375000E+00,+2.75574994E+00
+65.52000E-03,+2.35000002E+00,+2.75000000E+00,+3.00574994E+00
+65.54000E-03,+1.94375002E+00,+2.84375000E+00,+2.81824994E+00
+65.56000E-03,+1.38125002E+00,+2.56250000E+00,+2.19324994E+00
+65.58000E-03,+912.50002E-03,+1.87500000E+00,+1.47449994E+00
+65.60000E-03,+662.50002E-03,+1.18750000E+00,+724.49994E-03
+65.62000E-03,+787.50002E-03,+593.75000E-03,+349.49994E-03
+65.64000E-03,+1.16250002E+00,+343.75000E-03,+349.49994E-03
+65.66000E-03,+1.72500002E+00,+593.75000E-03,+880.74994E-03
+65.68000E-03,+2.22500002E+00,+1.15625000E+00,+1.66199994E+00
+65.70000E-03,+2.50625002E+00,+1.87500000E+00,+2.41199994E+00
+65.72000E-03,+2.47500002E+00,+2.56250000E+00,+2.91199994E+00
+65.74000E-03,+2.10000002E+00,+2.84375000E+00,+3.00574994E+00
+65.76000E-03,+1.63125002E+00,+2.78125000E+00,+2.59949994E+00
+65.78000E-03,+1.03750002E+00,+2.21875000E+00,+1.84949994E+00
+65.80000E-03,+756.25002E-03,+1.50000000E+00,+1.03699994E+00
+65.82000E-03,+725.00002E-03,+781.25000E-03,+411.99994E-03
+65.84000E-03,+1.03750002E+00,+406.25000E-03,+318.24994E-03
+65.86000E-03,+1.60000002E+00,+437.50000E-03,+661.99994E-03
+65.88000E-03,+2.10000002E+00,+937.50000E-03,+1.41199994E+00
+65.90000E-03,+2.47500002E+00,+1.71875000E+00,+2.25574994E+00
+65.92000E-03,+2.50625002E+00,+2.40625000E+00,+2.84949994E+00
+65.94000E-03,+2.16250002E+00,+2.87500000E+00,+3.00574994E+00
+65.96000E-03,+1.60000002E+00,+2.84375000E+00,+2.63074994E+00
+65.98000E-03,+1.13125002E+00,+2.31250000E+00,+1.91199994E+00
+66.00000E-03,+725.00002E-03,+1.56250000E+00,+1.06824994E+00
+66.02000E-03,+756.25002E-03,+843.75000E-03,+474.49994E-03
+66.04000E-03,+1.13125002E+00,+406.25000E-03,+286.99994E-03
+66.06000E-03,+1.66250002E+00,+468.75000E-03,+661.99994E-03
+66.08000E-03,+2.16250002E+00,+968.75000E-03,+1.41199994E+00
+66.10000E-03,+2.47500002E+00,+1.71875000E+00,+2.25574994E+00
+66.12000E-03,+2.47500002E+00,+2.46875000E+00,+2.88074994E+00
+66.14000E-03,+2.10000002E+00,+2.87500000E+00,+2.97449994E+00
+66.16000E-03,+1.47500002E+00,+2.75000000E+00,+2.56824994E+00
+66.18000E-03,+975.00002E-03,+2.21875000E+00,+1.78699994E+00
+66.20000E-03,+693.75002E-03,+1.43750000E+00,+911.99994E-03
+66.22000E-03,+850.00002E-03,+718.75000E-03,+380.74994E-03
+66.24000E-03,+1.28750002E+00,+406.25000E-03,+318.24994E-03
+66.26000E-03,+1.85000002E+00,+562.50000E-03,+880.74994E-03
+66.28000E-03,+2.35000002E+00,+1.21875000E+00,+1.69324994E+00
+66.30000E-03,+2.53750002E+00,+1.96875000E+00,+2.50574994E+00
+66.32000E-03,+2.31875002E+00,+2.65625000E+00,+3.00574994E+00
+66.34000E-03,+1.85000002E+00,+2.90625000E+00,+2.88074994E+00
+66.36000E-03,+1.19375002E+00,+2.59375000E+00,+2.19324994E+00
+66.38000E-03,+756.25002E-03,+1.87500000E+00,+1.34949994E+00
+66.40000E-03,+725.00002E-03,+1.06250000E+00,+599.49994E-03
+66.42000E-03,+1.10000002E+00,+531.25000E-03,+286.99994E-03
+66.44000E-03,+1.56875002E+00,+406.25000E-03,+505.74994E-03
+66.46000E-03,+2.19375002E+00,+875.00000E-03,+1.28699994E+00
+66.48000E-03,+2.53750002E+00,+1.65625000E+00,+2.16199994E+00
+66.50000E-03,+2.44375002E+00,+2.40625000E+00,+2.88074994E+00
+66.52000E-03,+2.00625002E+00,+2.84375000E+00,+2.97449994E+00
+66.54000E-03,+1.31875002E+00,+2.71875000E+00,+2.47449994E+00
+66.56000E-03,+881.25002E-03,+2.15625000E+00,+1.66199994E+00
+66.58000E-03,+662.50002E-03,+1.34375000E+00,+786.99994E-03
